iso3,gridCarbonIntensity,lowCarbonShare
CHN,560,36
TWN,580,17
JPN,460,31
KOR,420,39
IND,630,23
BGD,600,3
PAK,390,45
LKA,450,45
UZB,460,12
VNM,430,42
IDN,680,18
KHM,420,45
MMR,450,52
THA,500,15
PHL,610,22
MYS,590,19
LAO,260,75
TUR,410,42
ITA,330,41
DEU,350,59
FRA,56,93
ESP,170,77
PRT,170,75
POL,610,30
ROU,260,65
BGR,370,55
GBR,210,60
USA,370,41
MEX,430,24
BRA,100,89
GTM,300,60
HND,330,55
SLV,200,70
PER,220,65
COL,200,70
EGY,470,12
MAR,600,20
TUN,470,5
ETH,25,98
KEN,100,90
MDG,400,35
JOR,390,20
ZAF,700,15
