iso3,laborCostUsd,tariffEu,tariffUs,uflpaExposure,leadEu,leadUs
CHN,550,mfn,penalty,high,far,far
TWN,1450,mfn,mfn,low,far,far
JPN,2200,free,mfn,low,far,far
KOR,2100,free,free,low,far,far
IND,180,mfn,mfn,low,far,far
BGD,120,free,mfn,medium,far,far
PAK,140,free,mfn,medium,far,far
LKA,160,free,mfn,low,far,far
UZB,250,free,mfn,medium,mid,mid
VNM,320,free,mfn,high,far,far
IDN,250,mfn,mfn,medium,far,far
KHM,220,reduced,mfn,medium,far,far
MMR,100,free,mfn,medium,far,far
THA,450,mfn,mfn,low,far,far
PHL,300,free,mfn,low,far,far
MYS,550,mfn,mfn,medium,far,far
LAO,150,free,mfn,low,far,far
TUR,550,free,mfn,medium,near,mid
ITA,2300,free,mfn,low,near,mid
DEU,2900,free,mfn,low,near,mid
FRA,2700,free,mfn,low,near,mid
ESP,1900,free,mfn,low,near,mid
PRT,1250,free,mfn,low,near,mid
POL,1300,free,mfn,low,near,mid
ROU,950,free,mfn,low,near,mid
BGR,800,free,mfn,low,near,mid
GBR,2400,free,mfn,low,near,mid
USA,3200,mfn,free,low,mid,near
MEX,550,free,free,low,mid,near
BRA,500,mfn,mfn,low,mid,mid
GTM,450,free,free,low,mid,near
HND,400,free,free,low,mid,near
SLV,420,free,free,low,mid,near
PER,400,free,free,low,mid,near
COL,380,free,free,low,mid,near
EGY,140,free,mfn,low,near,mid
MAR,350,free,free,low,near,mid
TUN,300,free,mfn,low,near,mid
ETH,80,free,mfn,low,mid,mid
KEN,180,free,mfn,low,mid,mid
MDG,90,free,mfn,low,mid,mid
JOR,450,free,free,low,near,mid
ZAF,500,free,mfn,low,mid,mid
