iso3,cbamExposure,csrdExposure,eprExposure,dppReadiness
CHN,high,high,high,55
TWN,high,medium,medium,70
JPN,medium,medium,low,75
KOR,medium,medium,medium,75
IND,high,high,medium,40
BGD,medium,high,high,35
PAK,medium,high,medium,30
LKA,low,medium,medium,45
UZB,medium,medium,low,30
VNM,medium,high,medium,45
IDN,high,medium,low,35
KHM,low,high,medium,25
MMR,low,high,medium,15
THA,medium,medium,low,55
PHL,medium,low,low,40
MYS,medium,medium,low,55
LAO,low,low,low,20
TUR,high,high,high,55
ITA,low,high,high,80
DEU,low,high,high,85
FRA,low,high,high,85
ESP,low,high,high,75
PRT,low,high,high,75
POL,low,high,high,65
ROU,low,high,high,60
BGR,low,high,high,55
GBR,medium,medium,medium,75
USA,low,medium,medium,60
MEX,low,low,low,45
BRA,low,low,low,50
GTM,low,low,low,30
HND,low,low,low,25
SLV,low,low,low,30
PER,low,low,low,35
COL,low,low,low,40
EGY,medium,high,medium,25
MAR,high,high,high,45
TUN,medium,high,high,40
ETH,low,medium,low,15
KEN,low,low,low,25
MDG,low,medium,medium,15
JOR,low,low,low,35
ZAF,high,medium,low,45
