iso3,waterStress,waterPerKg
CHN,2.6,110
TWN,2.8,55
JPN,1.5,60
KOR,2.5,60
IND,3.7,165
BGD,2.9,125
PAK,3.9,175
LKA,2.0,95
UZB,4.2,180
VNM,2.0,100
IDN,2.2,105
KHM,1.5,110
MMR,1.8,115
THA,3.0,95
PHL,2.8,90
MYS,1.8,70
LAO,1.2,105
TUR,3.2,120
ITA,3.0,75
DEU,1.4,65
FRA,1.8,70
ESP,3.4,85
PRT,2.6,80
POL,1.8,70
ROU,1.6,80
BGR,1.5,85
GBR,1.6,65
USA,2.2,95
MEX,3.4,105
BRA,1.4,115
GTM,1.8,110
HND,1.6,105
SLV,2.2,100
PER,2.6,100
COL,1.8,95
EGY,4.5,170
MAR,3.9,115
TUN,3.8,110
ETH,2.2,130
KEN,2.6,115
MDG,1.8,105
JOR,4.6,100
ZAF,3.0,105
